cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper
H,7,8,2024-07-12,2024-09-06,1.0,2.340197801589966,0.0,4.303360939025879
H,7,8,2024-07-19,2024-09-13,1.0,4.441052436828613,0.0,6.404215335845947
H,7,8,2024-07-26,2024-09-20,1.0,5.3889336585998535,0.0,7.3520965576171875
H,7,8,2024-08-02,2024-09-27,0.0,16.478031158447266,4.102507591247559,18.441194534301758
H,7,8,2024-08-09,2024-10-04,1.0,24.845735549926758,12.47021198272705,30.769325256347656
H,7,8,2024-08-16,2024-10-11,0.0,3.5531044006347656,0.0,36.309478759765625
H,7,8,2024-08-23,2024-10-18,1.0,3.677485466003418,0.0,36.433860778808594
H,7,8,2024-08-30,2024-10-25,0.0,4.418624401092529,0.0,37.17499923706055
H,7,8,2024-09-06,2024-11-01,0.0,3.7432663440704346,0.0,36.49964141845703
H,7,8,2024-09-13,2024-11-08,0.0,2.470163106918335,0.0,35.22653579711914
H,7,8,2024-09-20,2024-11-15,0.0,0.0719224289059639,0.0,32.82829666137695
H,7,8,2024-09-27,2024-11-22,1.0,0.0,0.0,32.75637435913086
H,7,8,2024-10-04,2024-11-29,0.0,0.0,0.0,32.75637435913086
H,7,8,2024-10-11,2024-12-06,0.0,0.0,0.0,32.75637435913086
H,7,8,2024-10-18,2024-12-13,0.0,0.0,0.0,32.75637435913086
H,7,8,2024-10-25,2024-12-20,0.0,0.42466726899147034,0.0,33.1810417175293
H,7,8,2024-11-01,2024-12-27,0.0,0.7593249082565308,0.0,33.51569747924805
H,7,8,2024-11-08,2025-01-03,0.0,0.551484227180481,0.0,33.307857513427734
H,7,8,2024-11-15,2025-01-10,0.0,0.05305992066860199,0.0,32.80943298339844
H,7,8,2024-11-22,2025-01-17,0.0,0.0,0.0,32.75637435913086
H,7,8,2024-11-29,2025-01-24,0.0,0.01815292239189148,0.0,32.77452850341797
H,7,8,2024-12-06,2025-01-31,0.0,0.11439301818609238,0.0,32.870765686035156
H,7,8,2024-12-13,2025-02-07,0.0,0.5214123129844666,0.0,33.27778625488281
H,7,8,2024-12-20,2025-02-14,0.0,0.4644048810005188,0.0,33.22077941894531
H,7,8,2024-12-27,2025-02-21,0.0,0.3256288766860962,0.0,33.08200454711914
H,7,8,2025-01-03,2025-02-28,0.0,0.11880499869585037,0.0,32.875179290771484
H,7,8,2025-01-10,2025-03-07,1.0,0.028835479170084,0.0,32.78520965576172
H,7,8,2025-01-17,2025-03-14,1.0,0.0,0.0,32.75637435913086
H,7,8,2025-01-24,2025-03-21,0.0,0.0,0.0,32.75637435913086
H,7,8,2025-01-31,2025-03-28,0.0,0.0,0.0,32.75637435913086
H,7,8,2025-02-07,2025-04-04,2.0,0.0,0.0,32.75637435913086
H,7,8,2025-02-14,2025-04-11,0.0,0.0,0.0,32.75637435913086
H,7,8,2025-02-21,2025-04-18,0.0,0.0,0.0,32.75637435913086
H,7,8,2025-02-28,2025-04-25,0.0,0.007222458720207214,0.0,32.76359558105469
H,7,8,2025-03-07,2025-05-02,0.0,0.0037611424922943115,0.0,32.760135650634766
H,7,8,2025-03-14,2025-05-09,0.0,0.03775213658809662,0.0,32.794124603271484
H,7,8,2025-03-21,2025-05-16,0.0,0.015822164714336395,0.0,32.77219772338867
H,7,8,2025-03-28,2025-05-23,1.0,0.106917604804039,0.0,32.8632926940918
H,7,8,2025-04-04,2025-05-30,0.0,0.2395368218421936,0.0,32.99591064453125
H,7,8,2025-04-11,2025-06-06,1.0,0.5774046182632446,0.0,33.333778381347656
H,7,8,2025-04-18,2025-06-13,1.0,0.4908404052257538,0.0,33.247215270996094
H,7,8,2025-04-25,2025-06-20,0.0,0.7809723615646362,0.0,33.53734588623047
H,7,8,2025-05-02,2025-06-27,0.0,0.7310645580291748,0.0,33.4874382019043
H,7,8,2025-05-09,2025-07-04,2.0,0.6625003218650818,0.0,33.41887283325195
H,7,8,2025-05-16,2025-07-11,0.0,0.9436994194984436,0.0,33.7000732421875
H,7,8,2025-05-23,2025-07-18,4.0,0.9448457956314087,0.0,33.70122146606445
H,7,8,2025-05-30,2025-07-25,3.0,1.5142496824264526,0.0,34.27062225341797
H,7,8,2025-06-06,2025-08-01,21.0,1.8706026077270508,0.0,34.626976013183594
H,7,8,2025-06-13,2025-08-08,9.0,0.943705677986145,0.0,33.70008087158203
H,7,8,2025-06-20,2025-08-15,0.0,0.8173835873603821,0.0,33.57375717163086
H,7,8,2025-06-27,2025-08-22,1.0,1.065252661705017,0.0,33.82162857055664
H,7,8,2025-07-04,2025-08-29,0.0,1.0626143217086792,0.0,33.81898880004883
H,7,8,2025-07-11,2025-09-05,,1.0150120258331299,0.0,33.771385192871094
H,7,8,2025-07-18,2025-09-12,,1.4343441724777222,0.0,34.19071960449219
H,7,8,2025-07-25,2025-09-19,,1.5309518575668335,0.0,34.28732681274414
H,7,8,2025-08-01,2025-09-26,,1.5728708505630493,0.0,34.329246520996094
H,7,8,2025-08-08,2025-10-03,,0.7375479340553284,0.0,33.49392318725586
H,7,8,2025-08-15,2025-10-10,,0.32977133989334106,0.0,20.767330169677734
H,7,8,2025-08-22,2025-10-17,,0.6783428192138672,0.0,19.807741165161133
H,7,12,2023-02-17,2023-05-12,0.0,0.06336022913455963,0.0,0.9617069959640503
H,7,12,2023-02-24,2023-05-19,0.0,0.11494244635105133,0.0,1.013289213180542
H,7,12,2023-03-03,2023-05-26,0.0,0.06996656954288483,0.0,0.9683133363723755
H,7,12,2023-03-10,2023-06-02,0.0,0.12512421607971191,0.0,1.0234709978103638
H,7,12,2023-03-17,2023-06-09,0.0,0.16300126910209656,0.0,1.0613480806350708
H,7,12,2023-03-24,2023-06-16,2.0,0.209554061293602,0.0,1.107900857925415
H,7,12,2023-03-31,2023-06-23,0.0,0.2223328948020935,0.0,1.1206796169281006
H,7,12,2023-04-07,2023-06-30,0.0,0.2789699137210846,0.0,1.177316665649414
H,7,12,2023-04-14,2023-07-07,0.0,0.9047878384590149,0.0,1.8031346797943115
H,7,12,2023-04-21,2023-07-14,0.0,1.2116152048110962,0.0,2.109961986541748
H,7,12,2023-04-28,2023-07-21,1.0,1.820508360862732,0.0,2.718855142593384
H,7,12,2023-05-05,2023-07-28,1.0,1.6611403226852417,0.0,2.5594871044158936
H,7,12,2023-05-12,2023-08-04,1.0,3.890403985977173,0.0,4.788750648498535
H,7,12,2023-05-19,2023-08-11,2.0,4.814523696899414,0.0,5.7128705978393555
H,7,12,2023-05-26,2023-08-18,3.0,2.2016360759735107,0.0,3.099982738494873
H,7,12,2023-06-02,2023-08-25,0.0,5.925053119659424,0.0,6.823400020599365
H,7,12,2023-06-09,2023-09-01,1.0,2.6257736682891846,0.0,3.524120330810547
H,7,12,2023-06-16,2023-09-08,3.0,1.7334336042404175,0.0,2.6317803859710693
H,7,12,2023-06-23,2023-09-15,3.0,1.5653542280197144,0.0,2.463701009750366
H,7,12,2023-06-30,2023-09-22,3.0,2.539332151412964,0.0,4.32977819442749
H,7,12,2023-07-07,2023-09-29,1.0,2.8218376636505127,0.0,4.612283706665039
H,7,12,2023-07-14,2023-10-06,4.0,2.2830255031585693,0.0,4.073471546173096
H,7,12,2023-07-21,2023-10-13,0.0,0.4475541412830353,0.0,2.2380001544952393
H,7,12,2023-07-28,2023-10-20,0.0,0.7911677956581116,0.0,2.581613779067993
H,7,12,2023-08-04,2023-10-27,0.0,1.3444851636886597,0.0,3.1349310874938965
H,7,12,2023-08-11,2023-11-03,0.0,1.283502221107483,0.0,3.0739481449127197
H,7,12,2023-08-18,2023-11-10,0.0,0.9480581879615784,0.0,2.73850417137146
H,7,12,2023-08-25,2023-11-17,0.0,0.2819959223270416,0.0,2.072441816329956
H,7,12,2023-09-01,2023-11-24,0.0,0.1546136438846588,0.0,1.9450595378875732
H,7,12,2023-09-08,2023-12-01,0.0,0.23079624772071838,0.0,2.021242141723633
H,7,12,2023-09-15,2023-12-08,1.0,0.286136269569397,0.0,2.076582193374634
H,7,12,2023-09-22,2023-12-15,0.0,0.42547231912612915,0.0,2.2159183025360107
H,7,12,2023-09-29,2023-12-22,0.0,0.30269721150398254,0.0,2.0931432247161865
H,7,12,2023-10-06,2023-12-29,2.0,0.16073408722877502,0.0,1.9511799812316895
H,7,12,2023-10-13,2024-01-05,0.0,0.1589363068342209,0.0,1.9493821859359741
H,7,12,2023-10-20,2024-01-12,0.0,0.26085761189460754,0.0,2.0513036251068115
H,7,12,2023-10-27,2024-01-19,0.0,0.23930615186691284,0.0,2.029752016067505
H,7,12,2023-11-03,2024-01-26,0.0,0.18414956331253052,0.0,1.974595546722412
H,7,12,2023-11-10,2024-02-02,0.0,0.08665478974580765,0.0,1.8771007061004639
H,7,12,2023-11-17,2024-02-09,0.0,0.10190226882696152,0.0,1.8923481702804565
H,7,12,2023-11-24,2024-02-16,0.0,0.11737294495105743,0.0,1.9078189134597778
H,7,12,2023-12-01,2024-02-23,0.0,0.2811541259288788,0.0,2.0715999603271484
H,7,12,2023-12-08,2024-03-01,0.0,0.2006174772977829,0.0,1.9910633563995361
H,7,12,2023-12-15,2024-03-08,0.0,0.2462194859981537,0.0,2.036665439605713
H,7,12,2023-12-22,2024-03-15,0.0,0.16265501081943512,0.0,1.9531009197235107
H,7,12,2023-12-29,2024-03-22,0.0,0.20055046677589417,0.0,1.9909963607788086
H,7,12,2024-01-05,2024-03-29,0.0,0.13248373568058014,0.0,1.9229296445846558
H,7,12,2024-01-12,2024-04-05,0.0,0.08275263756513596,0.0,1.9220185279846191
H,7,12,2024-01-19,2024-04-12,0.0,0.07447527348995209,0.0,1.9137412309646606
H,7,12,2024-01-26,2024-04-19,0.0,0.07227375358343124,0.0,1.9115396738052368
H,7,12,2024-02-02,2024-04-26,0.0,0.0845889002084732,0.0,1.9238548278808594
H,7,12,2024-02-09,2024-05-03,0.0,0.09036405384540558,0.0,1.9296300411224365
H,7,12,2024-02-16,2024-05-10,0.0,0.045169033110141754,0.0,1.8844349384307861
