cluster,cluster_index,horizon,interval_start_at_inference_time,interval_start_when_prediction_relevant,true_count,prediction,lower,upper
A,0,2,2023-06-09,2023-06-23,12.0,6.548393249511719,3.308526039123535,14.43551254272461
A,0,2,2023-06-16,2023-06-30,5.0,7.252673149108887,4.012805938720703,15.139792442321777
A,0,2,2023-06-23,2023-07-07,9.0,8.63479232788086,5.394925117492676,16.52191162109375
A,0,2,2023-06-30,2023-07-14,13.0,9.820944786071777,6.581077575683594,17.708065032958984
A,0,2,2023-07-07,2023-07-21,13.0,11.334875106811523,8.09500789642334,19.221994400024414
A,0,2,2023-07-14,2023-07-28,21.0,13.7114839553833,10.471616744995117,21.598602294921875
A,0,2,2023-07-21,2023-08-04,13.0,16.614049911499023,13.37418270111084,24.501169204711914
A,0,2,2023-07-28,2023-08-11,17.0,23.43496322631836,20.19509506225586,31.32208251953125
A,0,2,2023-08-04,2023-08-18,22.0,25.492055892944336,22.25218963623047,33.379173278808594
A,0,2,2023-08-11,2023-08-25,27.0,25.017404556274414,21.777538299560547,32.90452575683594
A,0,2,2023-08-18,2023-09-01,17.0,25.301610946655273,21.68756103515625,32.590126037597656
A,0,2,2023-08-25,2023-09-08,22.0,23.900453567504883,17.465490341186523,31.188968658447266
A,0,2,2023-09-01,2023-09-15,16.0,24.973180770874023,18.538217544555664,32.261695861816406
A,0,2,2023-09-08,2023-09-22,16.0,19.581707000732422,13.146743774414062,26.870223999023438
A,0,2,2023-09-15,2023-09-29,12.0,16.124523162841797,7.822912216186523,23.413040161132812
A,0,2,2023-09-22,2023-10-06,26.0,16.634662628173828,8.333051681518555,23.923179626464844
A,0,2,2023-09-29,2023-10-13,14.0,15.02419376373291,6.051012992858887,22.31270980834961
A,0,2,2023-10-06,2023-10-20,17.0,12.820590019226074,3.847409248352051,20.109106063842773
A,0,2,2023-10-13,2023-10-27,8.0,10.650739669799805,1.6775588989257812,17.939254760742188
A,0,2,2023-10-20,2023-11-03,18.0,9.483786582946777,0.5106058120727539,18.849124908447266
A,0,2,2023-10-27,2023-11-10,18.0,8.927523612976074,0.0,18.292861938476562
A,0,2,2023-11-03,2023-11-17,15.0,8.126687049865723,0.0,17.492023468017578
A,0,2,2023-11-10,2023-11-24,9.0,8.018285751342773,0.0,17.383623123168945
A,0,2,2023-11-17,2023-12-01,7.0,7.527553558349609,0.0,16.89289093017578
A,0,2,2023-11-24,2023-12-08,6.0,7.301118850708008,0.0,16.66645622253418
