,barangay,cluster,area_km2,lon,lat
34,Talipapa,G,1.5694388439406717,121.02507757725635,14.685413235068543
35,Tandang Sora,G,3.85920453855889,121.04007566844261,14.682062803972023
36,Damayan,H,0.20654920029183538,121.01394717330702,14.637848326567129
37,N.S. Amoranto (Gintong Silahis),H,0.2165396307993126,120.99357360763943,14.632410309160196
38,Kalusugan,H,0.42658266675283196,121.02135970361117,14.622921168073269
39,Lourdes,H,0.7520445070214695,121.00211257507544,14.625826486526307
40,Maharlika,H,0.3864932891406504,120.99674798963368,14.633387625489648
41,Mariblo,H,0.13288384159973,121.01585180402081,14.634643118506716
42,Santo Domingo (Matalahib),H,0.9101318823576288,121.00770042567645,14.629706981452092
43,Nayong Kanluran,H,0.1427992592849,121.02488504881116,14.640130159738288
44,Paang Bundok,H,0.15676853837165844,120.99197784122349,14.628122284612235
45,Paligsahan,H,0.5848507211732967,121.02279652585929,14.632379134709563
46,Paraiso,H,0.1549675233034122,121.01754946643533,14.637856189830838
47,Roxas,H,0.45332824877692895,121.0218711475355,14.627628346973639
48,Saint Peter,H,0.26672940175449517,120.99984437849457,14.63490598878286
49,Salvacion,H,0.20816963339452818,120.99395712137856,14.62653379118105
50,San Isidro Labrador,H,0.25684043889713754,120.99611274325044,14.623891969332258
51,Santa Cruz,H,0.4377349632058861,121.0205774483905,14.635664640328345
52,Santa Teresita,H,0.34180735511364874,121.00021833888664,14.620695779302347
53,Sienna,H,0.3879461556970125,121.00450593311145,14.636351681596553
54,Talayan,H,0.4901543820256895,121.01125860503099,14.634733220370418
55,Tatalon,H,0.9248319786753451,121.01391297472358,14.623575445266901
56,Amihan,I,0.12935880228870264,121.06842714379697,14.632245217656852
57,Bagumbuhay,I,0.2347225664266774,121.06518961673568,14.625156772429763
58,Bagumbayan,I,1.397472223355415,121.0814841744677,14.60680799137045
59,Bayanihan,I,0.06406852737312976,121.06952776567095,14.615409770012128
60,Blue Ridge A,I,0.2814870498952591,121.07353257216288,14.619034468417459
61,Blue Ridge B,I,0.1157143344393213,121.07540995932067,14.617881400275953
62,Botocan,I,0.1170725703264322,121.06365771282795,14.63810888270459
63,Central,I,1.337319716492035,121.04863068328855,14.646300883301382
64,Claro,I,0.10167461659344904,121.06453629720889,14.631582434122715
65,New Era (Constitution Hills),I,0.693689066255555,121.06015725081215,14.664153434419154
66,Dioquino Zobel,I,0.043432876321075134,121.06473806005852,14.619831438310076
67,Duyan-duyan,I,0.16298571861066807,121.06715878550011,14.629997443174299
68,E. Rodriguez,I,0.6541787555114897,121.05209299300247,14.626338247731185
69,East Kamias,I,0.26890449876969913,121.05616990731929,14.632192667294731
70,Escopa I,I,0.01506255475900522,121.07345854690469,14.624403200251757
71,Escopa II,I,0.018671819770725833,121.07445303144631,14.624311629609739
72,Escopa III,I,0.0873236808456633,121.07325867361972,14.627008271813342
73,Escopa IV,I,0.015026981942648437,121.07438723054555,14.625645893699351
74,Krus Na Ligas,I,0.22706433794818487,121.06278731229018,14.64432539574403
75,Libis,I,0.11356190989041852,121.07699783505893,14.616189914517067
76,Loyola Heights,I,2.424865413056405,121.07395163017127,14.638303956032795
77,Malaya,I,0.13038423766484103,121.05554320723284,14.635998496146783
78,Mangga,I,0.08119559265197124,121.06201079188645,14.625626593912688
79,Marilag,I,0.46421702091842176,121.06995804380584,14.625507376671301
80,Masagana,I,0.1640900893880794,121.0668343126893,14.618439369061408
81,Milagrosa,I,0.27059593764349554,121.06977217788521,14.620597778546571
82,Old Capitol Site,I,0.1474614613962404,121.05280866521595,14.6503460328401
83,Pinyahan,I,1.5659920990427323,121.04705571070636,14.637895409346646
