,barangay,cluster,area_km2,lon,lat,district
50,San Isidro Labrador,H,0.2568404388971375,120.99611274325044,14.623891969332258,1
51,Santa Cruz,H,0.4377349632058861,121.0205774483905,14.635664640328343,1
52,Santa Teresita,H,0.3418073551136487,121.00021833888664,14.620695779302348,1
53,Sienna,H,0.3879461556970125,121.00450593311145,14.636351681596553,1
54,Talayan,H,0.4901543820256895,121.011258605031,14.634733220370418,1
55,Tatalon,H,0.9248319786753452,121.01391297472358,14.6235754452669,4
56,Amihan,I,0.1293588022887026,121.06842714379697,14.632245217656852,3
57,Bagumbuhay,I,0.2347225664266774,121.06518961673568,14.625156772429763,3
58,Bagumbayan,I,1.397472223355415,121.0814841744677,14.60680799137045,3
59,Bayanihan,I,0.0640685273731297,121.06952776567095,14.615409770012128,3
60,Blue Ridge A,I,0.2814870498952591,121.07353257216288,14.61903446841746,3
61,Blue Ridge B,I,0.1157143344393213,121.07540995932068,14.617881400275952,3
62,Botocan,I,0.1170725703264322,121.06365771282796,14.63810888270459,4
63,Central,I,1.337319716492035,121.04863068328856,14.646300883301382,4
64,Claro,I,0.101674616593449,121.06453629720887,14.631582434122716,3
65,New Era (Constitution Hills),I,0.693689066255555,121.06015725081215,14.664153434419154,6
66,Dioquino Zobel,I,0.0434328763210751,121.06473806005852,14.619831438310076,3
67,Duyan-duyan,I,0.162985718610668,121.06715878550013,14.6299974431743,3
68,E. Rodriguez,I,0.6541787555114897,121.05209299300247,14.626338247731184,3
69,East Kamias,I,0.2689044987696991,121.05616990731929,14.632192667294731,3
70,Escopa I,I,0.0150625547590052,121.07345854690467,14.624403200251756,3
71,Escopa II,I,0.0186718197707258,121.07445303144632,14.62431162960974,3
72,Escopa III,I,0.0873236808456633,121.07325867361972,14.627008271813342,3
73,Escopa IV,I,0.0150269819426484,121.07438723054555,14.625645893699351,3
74,Krus Na Ligas,I,0.2270643379481848,121.06278731229018,14.64432539574403,4
75,Libis,I,0.1135619098904185,121.07699783505892,14.616189914517069,3
76,Loyola Heights,I,2.424865413056405,121.07395163017128,14.638303956032797,3
77,Malaya,I,0.130384237664841,121.05554320723284,14.635998496146785,4
78,Mangga,I,0.0811955926519712,121.06201079188644,14.625626593912688,3
79,Marilag,I,0.4642170209184217,121.06995804380584,14.6255073766713,3
80,Masagana,I,0.1640900893880794,121.0668343126893,14.618439369061408,3
81,Milagrosa,I,0.2705959376434955,121.0697721778852,14.620597778546571,3
82,Old Capitol Site,I,0.1474614613962404,121.05280866521596,14.6503460328401,4
83,Pinyahan,I,1.5659920990427325,121.04705571070636,14.637895409346646,4
84,Quirino 2-A,I,0.1724774155441107,121.05907417514248,14.630397755422155,3
85,Quirino 2-B,I,0.1488115306233361,121.0618405007599,14.63225906645478,3
86,Quirino 2-C,I,0.0862749858223189,121.06305101940086,14.634748505754525,3
87,Quirino 3-A,I,0.055693846451959,121.0636062201716,14.6286604127243,3
88,Saint Ignatius,I,0.2598210720218697,121.07291479995604,14.61285104751676,3
89,San Roque,I,0.6504654646819313,121.06213188300704,14.619111951628389,3
90,San Vicente,I,0.1211631441396136,121.05579060234976,14.653166235994332,4
91,Sikatuna Village,I,0.4149941767790543,121.05922928690212,14.63806737219519,4
92,Silangan,I,0.2264002046166358,121.05879331642204,14.627528663105554,3
93,Tagumpay,I,0.0984108342001084,121.0636451766648,14.622267990827469,3
94,Teachers Village East,I,0.2180970518113002,121.0593115142839,14.644333689887944,4
